pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_rade
Kepler-36,c,Transit,16.23855,0.1283,0.033,0.0254,0.891,89.98,1,291.25018,49.231834,470,,5911,1.07,1.63,,,3.679
Kepler-11,g,Transit,118.37774,0.462,0,0.944,,89.8,0,297.115123,41.909138,613,,5680,0.95,1.1,,,3.66
Kepler-26,c,Transit,17.2513,0.107,,0.375,,,1,284.940997,46.56654,,,4500,0.65,0.59,,,3.6
Kepler-29,b,Transit,10.3376,0.09,,0.4,,,1,298.348324,47.491226,1400,,5750,1,0.96,,,3.6
Kepler-26,b,Transit,12.2829,0.085,,0.38,,,1,284.940997,46.56654,,,4500,0.65,0.59,,,3.6
Kepler-28,b,Transit,5.9123,0.062,,1.51,,,0,292.137029,42.42942,,,4590,0.75,0.7,,,3.6
Kepler-11,d,Transit,22.68719,0.159,0,0.019,0.9,89.3,1,297.115123,41.909138,613,,5680,0.95,1.1,,,3.43
Kepler-28,c,Transit,8.9858,0.081,,1.36,,,1,292.137029,42.42942,,,4590,0.75,0.7,,,3.4
Kepler-33,c,Transit,13.17562,0.1189,0,,,88.19,0,289.077548,46.005222,,,5904,1.29,1.82,,,3.2
Kepler-23,c,Transit,10.7421,0.099,,2.7,,,1,294.218924,49.479225,800,,5760,1.11,1.52,,,3.2
Kepler-11,c,Transit,13.02502,0.106,0,0.042,2.3,89,0,297.115123,41.909138,613,,5680,0.95,1.1,,,3.15
Kepler-20,c,Transit,10.854092,0.093,0.319,0.05066,2.91,88.39,0,287.698004,42.338726,290,,5455,0.91,0.94,,,3.07
Kepler-47,b,Transit,49.514,0.2956,0.035,,,89.59,,,,,,5636,1.04,0.96,,,2.98
Kepler-29,c,Transit,13.2907,0.11,,0.3,,,0,298.348324,47.491226,1400,,5750,1,0.96,,,2.9
Kepler-20,d,Transit,77.61184,0.3453,0.601,0.06324,4.07,89.57,0,287.698004,42.338726,290,,5455,0.91,0.94,,,2.75
KOI-1725,b,Transit,9.8844,0.0751,0,,,88.42,0,283.62885,48.391003,,,4240,0.58,0.55,,,2.65
Kepler-11,f,Transit,46.68876,0.25,0,0.007,0.7,89.4,0,297.115123,41.909138,613,,5680,0.95,1.1,,,2.61
Kepler-25,b,Transit,6.2385,0.068,,12.7,,,1,286.638394,39.487892,,,6190,1.22,1.36,,,2.6
Kepler-24,c,Transit,12.3335,0.106,,1.6,,,1,290.413267,38.343754,1200,,5800,1.03,1.07,,,2.4
Kepler-24,b,Transit,8.1453,0.08,,1.6,,,1,290.413267,38.343754,1200,,5800,1.03,1.07,,,2.4
Kepler-22,b,Transit,289.8623,0.849,0,,14.7,89.764,0,289.217484,47.884464,190,,5518,0.97,0.98,,,2.38
Kepler-10,c,Transit,42.29485,0.2407,0,0.063,10,89.65,0,285.679394,50.241299,173,,5627,0.89,1.06,,,2.227
Kepler-18,b,Transit,3.504725,0.0447,0,0.0217,4.9,84.92,0,298.079439,44.746326,,,5345,0.97,1.11,,,2
55 Cnc,e,Transit,0.7365449,0.01583,,0.027,5.9,90,,133.149216,28.330818,12.53,5.938,5196,0.9,0.94,HD 75732,HIP 43587,2
Kepler-11,b,Transit,10.30375,0.091,0,0.014,3.1,88.5,0,297.115123,41.909138,613,,5680,0.95,1.1,,,1.97
Kepler-20,b,Transit,3.6961219,0.04537,0.396,0.0274,6.5,86.5,0,287.698004,42.338726,290,,5455,0.91,0.94,,,1.91
Kepler-23,b,Transit,7.1073,0.075,,0.8,,,0,294.218924,49.479225,800,,5760,1.11,1.52,,,1.9
Kepler-33,b,Transit,5.66793,0.0677,0,,,86.39,0,289.077548,46.005222,,,5904,1.29,1.82,,,1.74
CoRoT-7,b,Transit,0.853585,0.0172,0,0.015,5.6,80.1,,100.956125,-1.063033,150,,5275,0.93,0.87,,,1.68
Kepler-9,d,Transit,1.592851,0.0273,,,,,0,285.573978,38.400898,650,,5777,1.07,1.02,,,1.64
Kepler-21,b,Transit,2.785755,0.042507,0,0.03272,12.9,82.58,0,287.361816,38.714016,107.88,8.25,6131,1.34,1.86,HD 179070,HIP 94112,1.635
Kepler-36,b,Transit,13.83989,0.1153,0.039,0.014,7.46,90.01,,291.25018,49.231834,470,,5911,1.07,1.63,,,1.486
Kepler-10,b,Transit,0.837495,0.01684,0,0.014,8.8,84.4,1,285.679394,50.241299,173,,5627,0.89,1.06,,,1.416
Kepler-42,b,Transit,1.2137672,0.0116,,,,,0,292.218983,44.619339,38.7,,3068,0.13,0.17,,,0.78
Kepler-42,c,Transit,0.45328509,0.006,,,,,0,292.218983,44.619339,38.7,,3068,0.13,0.17,,,0.73
Kepler-42,d,Transit,1.865169,0.0154,,,,,0,292.218983,44.619339,38.7,,3068,0.13,0.17,,,0.57
HIP 5158,c,Radial Velocity,9017.8,7.7,0.14,15.04,,,,16.508533,-22.453154,44.8,10.167,4650,0.69,0.71,,HIP 5158,
HD 142,c,Radial Velocity,6005,6.8,0.21,5.3,,,,1.579898,-49.075191,25.64,5.7,6403,1.23,1.47,HD 142,HIP 522,
nu Oph,c,Radial Velocity,3186,6.1,0.165,27,,,,269.756622,-9.773632,46.84,3.34,4928,3.04,15.1,HD 163917,HIP 88048,
HD 134987,c,Radial Velocity,5000,5.8,0.12,0.82,,,,228.369446,-25.309347,25.65,6.45,5560,0.94,1.33,HD 134987,HIP 74500,
55 Cnc,d,Radial Velocity,5218,5.77,0.025,3.835,,,,133.149216,28.330818,12.53,5.938,5196,0.9,0.94,HD 75732,HIP 43587,
HD 99492,c,Radial Velocity,4970,5.4,0.1,0.36,,,,171.692825,3.006328,17.99,6.14,5280,0.83,1.23,HD 99492,HIP 55848,
NN Ser (ab),c,Eclipse Timing Variations,5660,5.38,,6.91,,,,238.233871,12.912411,,,,,,,,
HD 217107,c,Radial Velocity,4210,5.27,0.517,2.49,,,,344.564758,-2.395385,19.72,6.16,5440,0.89,1.23,HD 217107,HIP 113421,
ups And,e,Radial Velocity,3848.86,5.24558,0.00536,1.059,,,,24.199345,41.40546,13.47,4.1,6120,1.19,1.62,HD 9826,HIP 7513,
HD 160691,c,Radial Velocity,4205.8,5.235,0.0985,1.814,,,,266.036255,-51.834053,15.28,5.15,5560,0.94,1.44,HD 160691,HIP 86796,
HD 13931,b,Radial Velocity,4218,5.15,0.02,1.88,,,,34.197414,43.772995,45.52,7.597,5740,1.04,1.28,HD 13931,HIP 10626,
HD 7449,c,Radial Velocity,4046,4.96,0.53,2,,,,18.622173,-5.047387,38.52,7.483,5910,1.11,1.06,HD 7449,HIP 5806,
HD 220773,b,Radial Velocity,3724.7,4.94,0.51,1.45,,,,351.614349,8.643845,48.43,7.096,5840,1.09,1.64,HD 220773,HIP 115697,
HD 187123,c,Radial Velocity,3810,4.89,0.252,1.99,,,,296.742126,34.419525,47.92,7.832,5700,1,1.23,HD 187123,HIP 97336,
HD 106270,b,Radial Velocity,2890,4.3,0.402,11,,,,183.40535,-9.513381,87.87,7.577,5430,0.89,2.87,HD 106270,HIP 59625,
HD 183263,c,Radial Velocity,2950,4.25,0.253,3.82,,,,292.102386,8.358054,52.83,7.861,5710,1.02,1.33,HD 183263,HIP 95740,
HD 125612,d,Radial Velocity,3008,4.2,0.28,7.2,,,,215.222977,-17.481522,52.83,8.317,5840,1.09,1.02,HD 125612,HIP 70123,
HD 154345,b,Radial Velocity,3342,4.19,0.044,0.947,,,,255.651688,47.081882,18.06,6.769,5430,0.89,0.86,HD 154345,HIP 83389,
HD 72659,b,Radial Velocity,3177.4,4.16,0.2,2.96,,,,128.51329,-1.568217,51.36,7.465,5850,1.09,1.46,HD 72659,HIP 42030,
HD 190360,b,Radial Velocity,2891,3.92,0.36,1.502,,,,300.905853,29.896805,15.89,5.7,5500,0.91,1.19,HD 190360,HIP 98767,
omicron UMa,b,Radial Velocity,1630,3.9,0.13,4.1,,,,127.566124,60.71817,56.31,3.36,5242,3.09,14.1,HD 71369,HIP 41704,
HD 30177,b,Radial Velocity,2819.654,3.86,0.3,9.17,,,,70.476555,-58.020756,54.71,8.374,5260,0.83,1.35,HD 30177,HIP 21850,
HD 50499,b,Radial Velocity,2582.7,3.86,0.23,1.71,,,,103.008438,-33.915562,47.26,7.195,5820,1.07,1.54,HD 50499,HIP 32970,
HD 74156,c,Radial Velocity,2476,3.85,0.43,8.03,,,,130.604675,4.578097,64.56,7.614,5960,1.12,1.64,HD 74156,HIP 42723,
HD 117207,b,Radial Velocity,2597,3.79,0.144,1.88,,,,202.337967,-35.570995,33.01,7.247,5450,0.89,1.25,HD 117207,HIP 65808,
HD 38529,c,Radial Velocity,2174.3,3.68,0.36,12.7,,,,86.64547,1.168193,42.43,5.95,5330,,3.09,HD 38529,HIP 27253,
47 Uma,c,Radial Velocity,2391,3.6,0.098,0.54,,,,164.866562,40.430256,14.08,5.05,5882,1.08,1.23,HD 95128,HIP 53721,
HD 169830,c,Radial Velocity,2102,3.6,0.33,4.04,,,,276.956177,-29.816866,36.32,5.902,6260,1.24,1.81,HD 169830,HIP 90485,
HD 87883,b,Radial Velocity,2754,3.6,0.53,1.78,,,,152.179749,34.24226,18.06,7.551,4870,0.73,0.82,HD 87883,HIP 49699,
GJ 832,b,Radial Velocity,3507,3.46,0.08,0.62,,,,323.391571,-49.009006,4.94,8.66,3657,0.45,0.48,HD 204961,HIP 106440,
HD 10180,h,Radial Velocity,2222,3.4,0.08,0.20263,,,,24.473234,-60.511528,39.39,7.321,5790,1.06,1.23,HD 10180,HIP 7599,
HD 43848,b,Radial Velocity,2371,3.4,0.69,25,,,,94.130676,-40.53186,37.05,8.595,4910,0.74,1.01,HD 43848,HIP 29804,
HD 215456,c,Radial Velocity,2277,3.394,0.19,0.246,,,,341.533478,-48.978821,38.64,6.629,5760,1.05,1.68,HD 215456,HIP 112414,
NN Ser (ab),d,Eclipse Timing Variations,2830,3.39,,2.28,,,,238.233871,12.912411,,,,,,,,
eps Eridani,b,Radial Velocity,2502,3.39,0.702,1.55,,30.1,,53.232685,-9.458262,3.22,3.73,,0.83,,HD 22049,HIP 16537,
NY Vir,b,Eclipse Timing Variations,2900,3.3,,2.3,,,,204.700623,-2.030315,,,,,,,,
HD 70642,b,Radial Velocity,2231,3.3,0.1,2,,,,125.367233,-39.70541,28.76,7.18,5530,,1.08,HD 70642,HIP 40952,
HD 39091,b,Radial Velocity,2063.818,3.29,0.62,10.35,,,,84.291214,-80.469124,18.21,5.65,5890,1.11,1.18,HD 39091,HIP 26394,
HD 89307,b,Radial Velocity,2157,3.27,0.241,1.78,,,,154.588699,12.621108,30.88,7.009,5930,1.11,1.05,HD 89307,HIP 50473,
HD 152079,b,Radial Velocity,2097,3.2,0.6,3,,,,253.373901,-46.332958,85.18,9.156,5410,0.88,1.36,HD 152079,HIP 82632,
HD 219415,b,Radial Velocity,2093.3,3.2,0.4,1,,,,348.724274,56.730328,,,4820,1,2.9,HD 219415,,
HD 37124,c,Radial Velocity,2295,3.19,0.2,0.683,,,,84.260361,20.730787,33.24,7.65,5580,0.94,0.98,HD 37124,HIP 26381,
HD 66428,b,Radial Velocity,1973,3.18,0.465,2.82,,,,120.869438,-1.162709,55.04,8.258,5530,0.93,1.25,HD 66428,HIP 39417,
HD 131664,b,Radial Velocity,1951,3.17,0.638,18.15,,,,225.025314,-73.535339,57.21,8.128,5590,0.95,1.35,HD 131664,HIP 73408,
HD 11964,b,Radial Velocity,1945,3.16,0.041,0.622,,,,29.290026,-10.242428,33.98,6.41,5230,0.82,2.11,HD 11964,HIP 9094,
HD 73534,b,Radial Velocity,1800,3.15,0.046,1.15,,,,129.815842,12.960376,96.99,8.237,4890,,3.17,HD 73534,HIP 42446,
HD 79498,b,Radial Velocity,1966.1,3.13,0.59,1.34,,,,138.789169,23.375549,48.64,8.02,5540,0.93,1.23,HD 79498,HIP 45406,
HD 204313,b,Radial Velocity,1931,3.082,0.131,4.05,,,,322.050873,-21.726255,47.3,8.02,5630,0.97,1.15,HD 204313,HIP 106006,
HD 142022 A,b,Radial Velocity,1928,3.03,0.53,5.1,,,,242.562592,-84.231613,35.87,7.655,5280,0.83,1.22,HD 142022A,HIP 79242,
HD 25171,b,Radial Velocity,1845,3.02,0.08,0.95,,,,58.956001,-65.186676,56.05,7.778,6210,1.22,1.2,HD 25171,HIP 18387,
HD 8673,b,Radial Velocity,1634,3.02,0.723,14.2,,,,21.536604,34.5797,38.26,6.341,6390,1.28,1.49,HD 8673,HIP 6702,
HD 181433,d,Radial Velocity,2172,3,0.48,0.54,,,,291.289856,-66.468796,26.15,8.4,4770,0.71,0.86,HD 181433,HIP 95467,
HD 168443,c,Radial Velocity,1749.5,2.91,0.212,18.1,,,,275.016388,-9.595722,37.88,6.917,5460,0.9,1.66,HD 168443,HIP 89844,
HD 12661,c,Radial Velocity,1708,2.9,0.031,1.92,,,,31.142866,25.414305,37.16,7.425,5470,0.9,1.28,HD 12661,HIP 9683,
HD 129445,b,Radial Velocity,1840,2.9,0.7,1.6,,,,221.512772,-68.762749,67.61,8.787,5310,0.84,1.35,HD 129445,HIP 72203,
HD 86264,b,Radial Velocity,1475,2.86,0.7,7,,,,149.240997,-15.895122,72.57,7.407,6240,1.23,1.82,HD 86264,HIP 48780,
14 Her,b,Radial Velocity,1773.4,2.77,0.369,4.64,,,,242.601303,43.817646,18.15,6.605,5311,0.9,,HD 145675,HIP 79248,
HD 108874,c,Radial Velocity,1680,2.77,0.273,1.064,,,,187.612015,22.879829,68.54,8.738,5370,0.86,1.35,HD 108874,HIP 61028,
HD 142245,b,Radial Velocity,1299,2.77,0.32,1.9,,,,238.234497,15.430708,106.38,7.452,4760,,5.44,HD 142245,HIP 77783,
HD 23596,b,Radial Velocity,1558,2.72,0.314,7.19,,,,57.001556,40.530636,51.97,7.244,5860,1.1,1.63,HD 23596,HIP 17747,
HD 216437,b,Radial Velocity,1294,2.7,0.34,2.1,,,,343.66452,-70.073708,26.52,6.05,5680,1,1.56,HD 216437,HIP 113137,
HD 132563,b,Radial Velocity,1544,2.62,0.22,1.49,,,,224.589661,44.043148,98.52,8.928,6110,1.19,1.29,HD 132563,HIP 73261A,
HD 106252,b,Radial Velocity,1531,2.611,0.482,6.92,,,,183.372955,10.041638,37.44,7.408,5830,1.08,1.1,HD 106252,HIP 59610,
18 Del,b,Radial Velocity,993.3,2.6,0.08,10.3,,,,314.608063,10.839286,73.1,5.506,4979,2.3,8.5,HD 199665,HIP 103527,
HD 86226,b,Radial Velocity,1534,2.6,0.73,1.5,,,,149.124359,-24.09939,42.48,7.932,5780,1.05,1.01,HD 86226,HIP 48739,
kappa CrB,b,Radial Velocity,1251,2.6,0.073,1.6,,,,237.808044,35.657383,31.12,4.82,4877,1.51,5,HD 142091,HIP 77655,
HD 204941,b,Radial Velocity,1733,2.56,0.37,0.266,,,,323.097961,-20.957422,26.95,8.42,5010,0.76,0.75,HD 204941,HIP 106353,
HD 216435,b,Radial Velocity,1311,2.56,0.07,1.26,,,,343.408051,-48.598286,33.29,6.04,5820,1.07,1.85,HD 216435,HIP 113044,
HAT-P-17,c,Radial Velocity,1610,2.555,0.086,1.31,,,,324.536396,30.488716,90,,5246,0.86,0.84,,,
HD 202206,c,Radial Velocity,1383.4,2.55,0.267,2.44,,,,318.740692,-20.789209,46.34,8.071,5500,0.91,1.17,HD 202206,HIP 104903,
HD 171238,b,Radial Velocity,1523,2.54,0.4,2.6,,,,278.681976,-28.072313,44.05,8.652,5390,0.87,0.9,HD 171238,HIP 91085,
ups And,d,Radial Velocity,1276.46,2.51329,0.2987,4.132,,,,24.199345,41.40546,13.47,4.1,6120,1.19,1.62,HD 9826,HIP 7513,
81 Cet,b,Radial Velocity,952.7,2.5,0.206,5.3,,,,39.424168,-3.396175,97.18,5.65,4785,2.4,11,HD 16400,HIP 12247,
HD 196050,b,Radial Velocity,1289,2.5,0.28,3,,,,309.465454,-60.634483,46.93,7.493,5660,0.98,1.43,HD 196050,HIP 101806,
HD 148156,b,Radial Velocity,1027,2.45,0.52,0.85,,,,247.072006,-46.317623,53.05,7.689,6010,1.15,1.28,HD 148156,HIP 80680,
HD 113538,c,Radial Velocity,1657,2.43,0.32,0.71,,,,196.239487,-52.442924,15.71,9.07,4020,0.56,0.74,HD 113538,HIP 63833,
HD 11506,b,Radial Velocity,1271,2.43,0.22,3.44,,,,28.210558,-19.506975,53.82,7.513,5910,1.11,1.46,HD 11506,HIP 8770,
HD 163607,c,Radial Velocity,1314,2.42,0.12,2.29,,,,268.418732,56.391956,69.44,7.979,5330,0.85,1.99,HD 163607,HIP 87601,
Gl 179,b,Radial Velocity,2288,2.41,0.21,0.82,,,,73.023865,6.476539,12.12,12,3370,0.36,0.38,,HIP 22627,
HD 175167,b,Radial Velocity,1290,2.4,0.54,7.8,,,,285.003479,-69.944244,67.02,8,5330,0.85,1.9,HD 175167,HIP 93281,
HD 23127,b,Radial Velocity,1214,2.4,0.44,1.5,,,,54.848495,-60.077843,89.13,8.55,5540,0.93,1.77,HD 23127,HIP 17054,
HD 47186,c,Radial Velocity,1353.6,2.395,0.249,0.35061,,,,99.036613,-27.622297,37.84,7.626,5460,0.9,1.19,HD 47186,HIP 31540,
HD 217786,b,Radial Velocity,1319,2.38,0.4,13,,,,345.78418,-0.429622,54.92,7.779,5960,1.12,1.29,HD 217786,HIP 113834,
HD 50554,b,Radial Velocity,1279,2.38,0.42,4.9,,,,103.678436,24.245558,31.03,6.844,6010,1.15,1.1,HD 50554,HIP 33212,
NGC 4349 No 127,b,Radial Velocity,677.8,2.38,0.19,19.8,,,,186.030844,-61.870178,,,,,,,,
HD 196885,b,Radial Velocity,1333,2.37,0.48,2.58,,,,309.966156,11.249649,32.99,6.386,6130,1.19,1.38,HD 196885,HIP 101966,
HD 139357,b,Radial Velocity,1125.7,2.36,0.1,9.76,,,,233.81749,53.922142,121.36,5.964,4490,,15.03,HD 139357,HIP 76311,
HD 126614,b,Radial Velocity,1244,2.35,0.41,0.38,,,,216.701172,-5.17778,68.35,8.788,5100,0.78,1.52,HD 126614,HIP 70623,
GJ 849,b,Radial Velocity,1845,2.32,0.05,0.91,,,,332.418121,-4.640729,8.77,10.37,,0.49,,,HIP 109388,
HD 190228,b,Radial Velocity,1127,2.31,0.43,4.99,,,,300.753235,28.306856,62.11,7.296,5280,0.83,2.49,HD 190228,HIP 98714,
HD 30562,b,Radial Velocity,1157,2.3,0.76,1.29,,,,72.151604,-5.674045,26.5,5.78,5820,1.07,1.66,HD 30562,HIP 22336,
HD 7449,b,Radial Velocity,1275,2.3,0.82,1.11,,,,18.622173,-5.047387,38.52,7.483,5910,1.11,1.06,HD 7449,HIP 5806,
HD 134060,c,Radial Velocity,1160.9,2.2263,0.75,0.1507,,,,227.686432,-61.422321,24.15,6.3,5780,1.05,1.21,HD 134060,HIP 74273,
HD 2039,b,Radial Velocity,1183,2.2,0.67,4.9,,,,6.084491,-56.650047,89.85,8.987,5680,0.99,1.37,HD 2039,HIP 1931,
HD 73267,b,Radial Velocity,1260,2.198,0.256,3.06,,,,129.074066,-34.45998,53.05,8.87,5300,0.84,1.02,HD 73267,HIP 42202,
6 Lyn,b,Radial Velocity,874.774,2.18,0.059,2.21,,,,97.696281,58.162632,56.95,5.88,4978,1.82,5.2,HD 45410,HIP 31039,
HD 110014,b,Radial Velocity,835.477,2.14,0.462,11.09,,,,189.811523,-7.995564,97.66,4.67,4570,,21.91,HD 110014,HIP 61740,
HD 99706,b,Radial Velocity,868,2.14,0.365,1.4,,,,172.125885,43.966579,130.89,7.637,4830,,5.86,HD 99706,HIP 55994,
HD 10697,b,Radial Velocity,1075.2,2.131,0.099,6.21,,,,26.232603,20.083149,32.56,6.279,5540,0.93,1.84,HD 10697,HIP 8159,
HD 207832,c,Radial Velocity,1155.7,2.112,0.27,0.73,,,,328.151184,-26.02656,55.31,8.786,5710,0.94,0.9,HD 207832,HIP 107985,
HD 114729,b,Radial Velocity,1114,2.11,0.167,0.95,,,,198.184402,-31.873348,35,6.695,5920,1.11,1.38,HD 114729,HIP 64459,
HD 164922,b,Radial Velocity,1155,2.11,0.05,0.36,,,,270.628601,26.313002,21.92,6.99,5230,0.82,1.04,HD 164922,HIP 88348,
47 Uma,b,Radial Velocity,1078,2.1,0.032,2.53,,,,164.866562,40.430256,14.08,5.05,5882,1.08,1.23,HD 95128,HIP 53721,
75 Cet,b,Radial Velocity,691.9,2.1,0.117,3,,,,38.039253,-1.034896,81.5,5.35,4846,2.49,10.5,HD 15779,HIP 11791,
HD 16175,b,Radial Velocity,990,2.1,0.59,4.4,,,,39.257961,42.062634,59.84,7.282,5740,1.03,1.94,HD 16175,HIP 12191,
HD 170469,b,Radial Velocity,1145,2.1,0.11,0.67,,,,277.295746,11.695502,64.98,8.176,5610,0.96,1.48,HD 170469,HIP 90593,
NGC 2423 3,b,Radial Velocity,714.3,2.1,0.21,10.6,,,,114.288492,-13.906663,,9.767,4620,0.65,,,,
HD 131496,b,Radial Velocity,883,2.09,0.163,2.2,,,,223.345947,18.235401,121.36,7.799,4790,,5.19,HD 131496,HIP 72845,
24 Sex,c,Radial Velocity,883,2.08,0.29,0.86,,,,155.86821,-0.902244,74.79,6.441,5098,1.54,4.9,HD 90043,HIP 50887,
HD 190647,b,Radial Velocity,1038.1,2.07,0.18,1.9,,,,301.83197,-35.538631,54.23,7.775,5380,0.86,1.66,HD 190647,HIP 99115,
HD 197037,b,Radial Velocity,1035.7,2.07,0.22,0.79,,,,309.887329,42.24855,32.83,6.813,6290,1.25,1.06,HD 197037,HIP 101948,
HD 34445,b,Radial Velocity,1049,2.07,0.27,0.79,,,,79.420746,7.353343,45.01,7.328,5750,1.04,1.43,HD 34445,HIP 24681,
HD 187085,b,Radial Velocity,986,2.05,0.47,0.75,,,,297.391541,-37.780552,44.98,7.214,6010,1.16,1.35,HD 187085,HIP 97546,
gamma Cephei,b,Radial Velocity,903.3,2.05,0.049,1.85,,,,354.836884,77.632278,13.79,3.21,4888,1.4,4.9,HD 222404,HIP 116727,
HD 10647,b,Radial Velocity,1003,2.03,0.16,0.93,,,,25.622149,-53.740833,17.35,5.519,6140,1.2,1.08,HD 10647,HIP 7978,
HD 200964,c,Radial Velocity,829,2.03,0.113,1.3,,,,316.666016,3.803119,68.35,6.487,5070,0.77,4.48,HD 200964,HIP 104202,
HD 213240,b,Radial Velocity,951,2.03,0.45,4.5,,,,337.751526,-49.43327,40.75,6.814,5850,1.09,1.57,HD 213240,HIP 111143,
BD+20 2457,c,Radial Velocity,621.99,2.01,0.18,12.47,,,,154.18691,19.891409,,,4137,2.8,49,,,
HD 102329,b,Radial Velocity,778.1,2.01,0.211,5.9,,,,176.694351,3.474293,138.5,7.886,4760,,5.8,HD 102329,HIP 57467,
HD 143361,b,Radial Velocity,1057,2,0.15,3.12,,,,240.459778,-44.434536,59.35,9.225,5280,0.83,0.98,HD 143361,HIP 78521,
HD 159868,b,Radial Velocity,986,2,0.69,1.7,,,,264.748016,-43.145515,52.72,7.242,5510,0.92,1.94,HD 159868,HIP 86375,
HD 30856,b,Radial Velocity,912,2,0.24,1.8,,,,72.574425,-24.368839,121.07,7.911,4920,,4.5,HD 30856,HIP 22491,
HD 132406,b,Radial Velocity,974,1.98,0.34,5.61,,,,224.227707,53.382168,70.97,8.467,5780,1.05,1.31,HD 132406,HIP 73146,
HD 111232,b,Radial Velocity,1143,1.97,0.2,6.8,,,,192.215637,-68.425148,28.88,7.607,5560,0.94,0.88,HD 111232,HIP 62534,
HD 81040,b,Radial Velocity,1001.7,1.94,0.526,6.86,,,,140.946198,20.364454,32.56,7.716,5670,0.99,0.89,HD 81040,HIP 46076,
HD 150433,b,Radial Velocity,1096.2,1.9303,0,0.168,,,,250.284225,-2.857277,29.55,7.21,5750,1.04,0.99,HD 150433,HIP 81681,
HD 11977,b,Radial Velocity,711,1.93,0.4,6.54,,,,28.733881,-67.647301,66.49,4.69,4940,,10.77,HD 11977,HIP 8928,
eps Tau,b,Radial Velocity,594.9,1.93,0.151,7.6,,,,67.154167,19.180431,47.53,3.54,4901,2.7,13.7,HD 28305,HIP 20889,
HD 147018,c,Radial Velocity,1008,1.922,0.133,6.56,,,,245.75061,-61.688763,42.68,8.301,5350,0.85,1.04,HD 147018,HIP 80250,
HD 18742,b,Radial Velocity,772,1.92,0.23,2.7,,,,45.044407,-20.802603,127.88,7.814,5000,0.76,4.74,HD 18742,HIP 13993,
HD 45350,b,Radial Velocity,890.76,1.92,0.778,1.79,,,,97.19046,38.962963,48.95,7.885,5430,0.88,1.39,HD 45350,HIP 30860,
7 CMa,b,Radial Velocity,763,1.9,0.14,2.6,,,,99.17099,-19.255878,19.84,3.92,4792,1.52,2.3,HD 47205,HIP 31592,
HD 240237,b,Radial Velocity,745.7,1.9,0.4,5.3,,,,348.925934,58.04324,307.69,,,,,HD 240237,HIP 114840,
HD 5608,b,Radial Velocity,792.6,1.9,0.19,1.4,,,,14.559246,33.950886,58.17,5.98,4854,1.55,5.5,HD 5608,HIP 4552,
nu Oph,b,Radial Velocity,530.32,1.9,0.1256,24,,,,269.756622,-9.773632,46.84,3.34,4928,3.04,15.1,HD 163917,HIP 88048,
